Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Goze First,Villa,2472900.0,6/7/2022,5219.18,,0,,,Noor Bank Metro Station,5.7,29.8
Al Barshaa South Third,Land,8000000.0,1/6/2021,1495.82,,0,,Arjan,Sharaf Dg Metro Station,9.4,51.2
Al Barsha South Fifth,Land,3700000.0,3/11/2022,3152.29,,0,,Jumeirah Village Triangle,Damac Properties,13.3,68.4
Palm Jumeirah,Land,30000000.0,8/2/2022,21214.91,,0,,Palm Jumeirah,Mina Seyahi,14.4,87.8
Al Thanyah Fifth,Villa,4100000.0,26-07-2021,8120.42,,0,,Jumeirah Park,Jumeirah Lakes Towers,14.8,76.2
Wadi Al Safa 2,Villa,2300000.0,28-11-2022,8516.31,,0,,Falcon City,,9.7,49.7
Wadi Al Safa 3,Villa,10715000.0,4/7/2021,10682.21,,0,,Al Barari,,9.8,54.6
Al Jadaf,Building,44500000.0,4/5/2021,37399.99,,0,,Sama Al Jadaf,Al Jadaf Metro Station,11.9,82.9
Me'Aisem First,Villa,7114950.0,28-11-2021,6872.16,,0,,Jumeirah Golf,Damac Properties,5.2,29.7
Al Warsan First,Land,13500000.0,31-08-2022,7547.38,,0,,International City Phase 1,Rashidiya Metro Station,8.3,48.6
Jumeirah First,Land,11800000.0,23-03-2021,13682.9,,0,,,Trade Centre Metro Station,11.0,61.2
Al Barsha South Fourth,Villa,3250000.0,21-12-2022,6480.43,,0,,Jumeirah Village Circle,Dubai Internet City,12.6,64.7
Al Hebiah Third,Villa,2500000.0,6/12/2020,6410.26,,0,,DAMAC HILLS,,13.8,70.3
Al Hebiah Third,Villa,1771380.0,21-12-2020,6730.42,,0,,DAMAC HILLS,,10.0,50.9
Al Hebiah Third,Villa,1725000.0,21-02-2021,6818.18,,0,,DAMAC HILLS,,10.7,54.4
Wadi Al Safa 5,Villa,5500000.0,30-08-2021,4755.73,,0,,The Villa,,13.3,69.4
Jabal Ali First,Land,700000.0,7/1/2021,1555.56,,0,,Al Furjan,Ibn Battuta Metro Station,7.8,39.4
Al Thanyah Fifth,Land,5000000.0,13-03-2023,6617.35,,0,,Jumeirah Park,Harbour Tower,10.6,55.6
Al Yufrah 2,Villa,1200000.0,15-09-2022,6340.82,,0,,DAMAC HILLS 2,,13.4,67.6
Wadi Al Safa 7,Villa,3350000.0,14-03-2022,8300.3,,0,,Arabian Ranches II - AZALEA,,6.2,32.8
Saih Shuaib 1,Land,26574.0,1/2/2022,29.06,,0,,,,13.3,66.5
Saih Shuaib 1,Land,1074259.0,18-07-2022,1157.11,,0,,,,5.8,29.6
Al Hebiah Third,Villa,3750000.0,14-11-2022,13265.41,,0,,DAMAC HILLS,,9.4,49.0
Me'Aisem First,Villa,9100000.0,25-01-2023,12100.26,,0,,Jumeirah Golf,Harbour Tower,5.9,34.3
Al Yufrah 3,Land,730000.0,29-08-2021,6503.92,,0,,DAMAC HILLS 2,,7.6,38.4
Jabal Ali First,Villa,2255000.0,27-11-2022,9821.43,,0,,Al Furjan,Ibn Battuta Metro Station,6.9,35.7
Jabal Ali First,Land,2877037.0,9/2/2020,4795.06,,0,,Al Furjan,Ibn Battuta Metro Station,5.3,28.0
Wadi Al Safa 3,Villa,4900000.0,16-11-2021,4474.4,,0,,Living Legends,,14.6,75.6
Wadi Al Safa 3,Villa,2100000.0,19-02-2020,4080.92,,0,,Living Legends,First Abu Dhabi Bank Metro Station,10.4,53.1
Al Yufrah 2,Land,820000.0,12/1/2023,7305.77,,0,,DAMAC HILLS 2,,11.7,58.9
Nad Al Shiba First,Land,3920000.0,24-03-2022,4213.92,,0,,,Business Bay Metro Station,11.1,57.6
Nad Al Shiba First,Land,3075000.0,25-10-2022,6615.32,,0,,,Business Bay Metro Station,12.7,65.1
Nad Al Shiba Third,Land,2398000.0,11/1/2021,5109.74,,0,,Nad Al Shiba Villas,Rashidiya Metro Station,10.5,53.8
Nad Al Shiba Third,Land,2648000.0,19-10-2020,5650.63,,0,,Nad Al Shiba Villas,Creek Metro Station,6.9,35.9
Nad Al Shiba Third,Land,2788000.0,6/5/2021,5945.83,,0,,Nad Al Shiba Villas,Creek Metro Station,9.0,46.5
Nad Al Shiba Third,Land,2878000.0,14-06-2021,6140.39,,0,,Nad Al Shiba Villas,Creek Metro Station,10.5,54.0
Al Hebiah Sixth,Land,1850000.0,5/7/2022,10164.28,,0,,Mudon,,13.9,70.5
Al Hebiah Sixth,Villa,2325000.0,5/7/2020,5981.48,,0,,Mudon,,5.9,30.7
Al Satwa,Land,2500000.0,8/7/2021,10763.8,,0,,,,11.5,58.8
Palm Jumeirah,Land,252707.0,6/6/2022,4144.1,,0,,Palm Jumeirah,,9.4,47.1
Al Thanayah Fourth,Villa,1650000.0,13-04-2022,9595.25,2 B/R,0,,Springs - 7,Damac Properties,9.8,49.9
Al Thanayah Fourth,Villa,2150000.0,17-12-2020,5741.29,3 B/R,0,,Springs - 5,Nakheel Metro Station,13.4,68.1
Al Thanayah Fourth,Villa,1100000.0,13-07-2020,5170.14,3 B/R,0,,Springs - 2,Nakheel Metro Station,9.7,49.1
Wadi Al Safa 6,Villa,2550000.0,25-10-2022,12385.86,2 B/R,0,,Arabian Ranches - Palmera - I,,8.5,43.8
Al Thanyah Third,Villa,2600000.0,24-06-2021,11631.03,,0,,,Nakheel Metro Station,13.4,68.4
Al Thanayah Fourth,Villa,2750000.0,21-01-2021,7279.37,3 B/R,0,,,Damac Properties,12.4,63.4
Wadi Al Safa 6,Villa,3700000.0,21-01-2022,5995.98,3 B/R,0,,Arabian Ranches - Palmera - II,,12.5,64.4
Al Yelayiss 1,Villa,1400000.0,24-12-2020,6944.44,3 B/R,0,,,,6.2,31.7
Al Yelayiss 1,Villa,2150000.0,23-03-2022,6845.17,3 B/R,0,,,,14.1,71.6
Al Yelayiss 1,Villa,1650000.0,17-01-2021,6790.4,3 B/R,0,,,,5.8,29.9
Al Yelayiss 1,Villa,1700000.0,20-02-2020,5697.62,4 B/R,0,,,,10.3,52.4
Al Yelayiss 1,Villa,1625000.0,12/7/2021,7387.71,3 B/R,0,,,,13.0,65.9
Al Yelayiss 2,Villa,1350000.0,7/2/2022,7054.77,3 B/R,0,,TOWN SQUARE,,5.3,27.2
Hadaeq Sheikh Mohammed Bin Rashid,Villa,3450000.0,1/11/2022,17084.28,4 B/R,0,,DUBAI HILLS - MAPLE 1,First Abu Dhabi Bank Metro Station,11.9,61.3
Hadaeq Sheikh Mohammed Bin Rashid,Villa,2280000.0,5/11/2020,11290.48,4 B/R,0,,DUBAI HILLS - MAPLE 1,First Abu Dhabi Bank Metro Station,7.1,36.7
Hadaeq Sheikh Mohammed Bin Rashid,Villa,3000000.0,28-11-2022,15210.67,3 B/R,0,,DUBAI HILLS - MAPLE 2,First Abu Dhabi Bank Metro Station,13.9,71.1
Wadi Al Safa 7,Villa,3302250.0,6/4/2022,16829.32,3 B/R,0,,THE SUSTAINABLE CITY,,14.5,74.2
Wadi Al Safa 7,Villa,3123750.0,14-12-2021,16199.5,3 B/R,0,,THE SUSTAINABLE CITY,,6.4,33.6
Wadi Al Safa 7,Villa,2175000.0,1/3/2023,7600.11,3 B/R,0,,800 Villas,,8.3,42.6
Wadi Al Safa 7,Villa,2275000.0,28-11-2021,12526.84,3 B/R,0,,Arabian Ranches II - Reem Community,,7.4,38.2
Wadi Al Safa 5,Villa,2235000.0,31-01-2023,11653.37,4 B/R,0,,,,9.0,46.2
Al Hebiah First,Villa,2215517.0,11/3/2021,9218.26,3 B/R,0,,Motor City,Dubai Internet City,8.4,43.2
Mirdif,Villa,2771000.0,2/3/2023,15057.33,2 B/R,0,,,Etisalat Metro Station,14.7,75.0
Jabal Ali First,Villa,2480000.0,21-12-2022,14579.66,3 B/R,0,,Al Furjan,Ibn Battuta Metro Station,5.7,29.8
Al Thanyah Third,Unit,1450000.0,30-05-2021,9755.11,3 B/R,1,ALJAZ4,The Greens,Dubai Internet City,6.9,35.3
Marsa Dubai,Unit,970000.0,9/6/2021,7300.37,2 B/R,1,MARINA HEIGHTS 1,Dubai Marina,Marina Towers,7.0,35.5
Al Thanyah Third,Unit,439800.0,21-04-2008,5834.44,1 B/R,1,SAMAR 1,The Greens,Dubai Internet City,7.3,36.7
Al Thanyah Third,Unit,810000.0,14-02-2023,11788.68,1 B/R,1,Al Dhafrah-1,The Greens,Dubai Internet City,5.8,29.4
Al Thanyah Third,Unit,2222000.0,21-04-2008,9804.53,2 B/R,1,AL THAYYAL-2,The Greens,Dubai Internet City,9.6,49.2
Marsa Dubai,Unit,660800.0,27-01-2009,9717.65,1 B/R,1,MARINA CROWN TOWER,Dubai Marina,Mina Seyahi,13.8,69.3
Marsa Dubai,Unit,1500000.0,23-05-2021,11746.28,2 B/R,1,Bahar 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,8.7,44.3
Marsa Dubai,Unit,3640000.0,24-04-2008,21606.22,3 B/R,1,Rimal 6,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,6.4,33.9
Marsa Dubai,Unit,2000000.0,16-02-2023,15050.04,1 B/R,1,Sadaf 7,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,9.2,47.1
Marsa Dubai,Unit,3450000.0,30-04-2008,15795.98,3 B/R,1,Fairooz,Dubai Marina,Marina Towers,9.7,50.3
Marsa Dubai,Unit,2750000.0,21-01-2009,12289.95,4 B/R,1,Horizon Tower,Dubai Marina,Jumeirah Lakes Towers,7.3,37.9
Marsa Dubai,Unit,1950000.0,5/9/2021,15144.45,2 B/R,1,Al Majara 3,Dubai Marina,Jumeirah Lakes Towers,7.3,37.5
Marsa Dubai,Unit,1412500.0,3/2/2020,9729.3,2 B/R,1,Shams 4,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,13.9,70.2
Marsa Dubai,Unit,830000.0,27-05-2008,9394.45,1 B/R,1,Al Majara 1,Dubai Marina,Jumeirah Lakes Towers,9.1,45.9
Marsa Dubai,Unit,1090000.0,7/7/2021,9257.69,1 B/R,1,Bahar 4,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,5.7,29.1
Marsa Dubai,Unit,1850000.0,19-09-2021,10264.66,3 B/R,1,MARINA TERRACE,Dubai Marina,Dubai Marina,11.0,56.0
Al Warsan First,Unit,380000.0,20-04-2008,5588.24,1 B/R,0,N11,International City Phase 1,Rashidiya Metro Station,10.9,54.7
Al Warsan First,Unit,250000.0,20-10-2022,5555.56,Studio,0,Y03,International City Phase 1,Rashidiya Metro Station,10.6,53.1
Marsa Dubai,Unit,1111111.0,27-12-2020,9268.53,2 B/R,1,Rimal 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,8.8,44.6
Al Warsan First,Unit,300000.0,11/3/2020,3125.0,1 B/R,0,X10,International City Phase 1,Rashidiya Metro Station,10.1,50.7
Al Thanyah Third,Unit,2250000.0,7/9/2021,10043.3,4 B/R,0,ALSIDIR 4,The Greens,Dubai Internet City,9.9,50.7
Al Warsan First,Unit,198000.0,10/6/2022,4400.0,Studio,0,U13,International City Phase 1,Rashidiya Metro Station,12.2,61.1
Al Warsan First,Unit,299000.0,19-01-2009,4462.69,1 B/R,0,U13,International City Phase 1,Rashidiya Metro Station,9.1,45.7
Al Warsan First,Unit,336000.0,12/9/2022,3906.98,1 B/R,0,J02,International City Phase 1,Rashidiya Metro Station,12.8,64.2
Al Warsan First,Unit,215000.0,20-06-2022,4777.78,Studio,0,K02,International City Phase 1,Rashidiya Metro Station,11.9,59.6
Al Warsan First,Unit,474935.0,16-01-2023,7088.58,Shop,0,I15,International City Phase 1,Rashidiya Metro Station,9.0,45.2
Al Warsan First,Unit,360000.0,29-01-2009,5217.39,1 B/R,0,P01,International City Phase 1,Rashidiya Metro Station,8.8,44.2
Al Warsan First,Unit,180000.0,19-08-2020,4090.91,Studio,0,N13,International City Phase 1,Rashidiya Metro Station,7.9,39.6
Palm Jumeirah,Unit,1350000.0,31-03-2022,12686.78,1 B/R,1,Al Hamri,Palm Jumeirah,Palm Jumeirah,11.3,57.2
Burj Khalifa,Unit,1600000.0,10/5/2021,11731.93,1 B/R,1,ALTAJER,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,6.6,33.8
Palm Jumeirah,Unit,2500000.0,24-11-2021,12464.48,3 B/R,1,Al Basri,Palm Jumeirah,Palm Jumeirah,8.5,43.8
Burj Khalifa,Unit,2980000.0,10/8/2022,23194.27,2 B/R,1,YANSOON 5,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,14.7,75.1
Burj Khalifa,Unit,2250000.0,3/2/2023,17237.42,2 B/R,1,REEHAN 1,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,6.4,33.2
Burj Khalifa,Unit,1962000.0,31-08-2022,17453.96,2 B/R,1,YANSOON 5,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,7.3,37.5
Burj Khalifa,Unit,1241000.0,25-11-2020,10703.81,1 B/R,1,ATTAREEN,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,10.6,53.7
Palm Jumeirah,Unit,2500000.0,22-08-2022,12452.68,3 B/R,1,Al Msalli,Palm Jumeirah,Palm Jumeirah,10.8,55.3
Al Thanyah First,Unit,843780.0,11/10/2022,8072.9,Office,1,Grosvenor Business Tower,TECOM Site C,Dubai Internet City,8.2,41.4
Al Thanyah Fifth,Unit,965000.0,5/1/2023,10232.21,1 B/R,1,MADINA TOWER,Jumeirah Lakes Towers,Marina Mall Metro Station,14.9,75.0
Al Warsan First,Unit,200000.0,31-08-2020,4494.38,Studio,0,S15,International City Phase 1,Rashidiya Metro Station,11.1,55.6
Al Warsan First,Unit,190000.0,28-03-2021,4222.22,Studio,0,X15,International City Phase 1,Rashidiya Metro Station,9.2,46.1
Burj Khalifa,Unit,1180000.0,31-08-2021,12894.77,1 B/R,1,South Ridge 3,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,7.5,38.1
Al Warsan First,Unit,318717.0,31-05-2020,6781.21,Shop,0,P18,International City Phase 1,Rashidiya Metro Station,9.2,46.2
Marsa Dubai,Unit,8750000.0,10/3/2020,6147.77,PENTHOUSE,1,MARINA VIEW TOWERS B,Dubai Marina,Marina Mall Metro Station,12.3,66.1
Al Warsan First,Unit,190000.0,1/10/2020,4269.66,Studio,0,S08,International City Phase 1,Rashidiya Metro Station,7.2,36.1
Al Warsan First,Unit,200000.0,23-09-2022,4444.44,Studio,0,P9,International City Phase 1,Rashidiya Metro Station,12.4,62.1
Jabal Ali First,Unit,420000.0,15-01-2020,4719.1,1 B/R,0,MED 38,Discovery Gardens,Harbour Tower,6.7,33.7
Al Warsan First,Unit,478076.0,20-10-2022,10449.74,Shop,0,U01,International City Phase 1,Rashidiya Metro Station,13.8,69.3
Jabal Ali First,Unit,440000.0,13-10-2021,4782.61,1 B/R,0,MED 60,Discovery Gardens,Harbour Tower,9.5,47.7
Burj Khalifa,Unit,2330000.0,16-01-2023,21370.27,2 B/R,1,29 BLVD T1,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,13.1,66.7
Palm Jumeirah,Unit,2620192.0,22-06-2021,12928.36,3 B/R,1,Jash Falqa,Palm Jumeirah,Palm Jumeirah,12.9,65.9
Al Thanyah Fifth,Unit,1800000.0,18-10-2022,9795.39,2 B/R,1,SEEF 3,Jumeirah Lakes Towers,Damac Properties,8.6,43.9
Al Thanyah Fifth,Unit,1018000.0,15-12-2022,9030.43,1 B/R,1,DUBAI ARCH TOWER,Jumeirah Lakes Towers,Marina Mall Metro Station,12.5,63.0
Al Hebiah First,Unit,1575000.0,28-06-2022,7276.17,3 B/R,1,FOX HILL 1,Motor City,Sharaf Dg Metro Station,13.2,66.8
Al Hebiah First,Unit,580000.0,29-06-2021,6734.79,1 B/R,1,NORTON COURT 2,Motor City,Sharaf Dg Metro Station,13.8,69.3
Burj Khalifa,Unit,1200000.0,5/10/2020,8442.38,2 B/R,1,8 BLVD WALK,Burj Khalifa,Business Bay Metro Station,14.6,73.6
Marsa Dubai,Unit,1300000.0,19-10-2022,9386.28,2 B/R,1,DEC TOWERS T2,Dubai Marina,Jumeirah Beach Residency,10.2,51.7
Al Hebiah First,Unit,500000.0,24-01-2021,5323.68,1 B/R,1,SHERLOCK HOUSE 2,Motor City,Sharaf Dg Metro Station,5.8,29.3
Al Hebiah First,Unit,525000.0,2/3/2020,5444.36,1 B/R,1,CLAVERTON HOUSE 2,Motor City,Sharaf Dg Metro Station,14.8,74.3
Al Hebiah First,Unit,200000.0,19-08-2021,6277.46,1 B/R,1,SHAKESPEARE SIRCUS 1,Motor City,Sharaf Dg Metro Station,10.8,54.1
Al Warsan First,Unit,429633.0,24-01-2021,4135.06,2 B/R,1,DANA 2,International City Phase 1,Rashidiya Metro Station,14.0,70.2
Al Hebiah First,Unit,1249532.0,19-05-2021,8190.97,2 B/R,1,ABBEY CRESCENT 2,Motor City,Sharaf Dg Metro Station,10.3,52.2
Al Thanyah Fifth,Unit,1715000.0,1/8/2022,11057.38,2 B/R,1,Tamweel Tower,Jumeirah Lakes Towers,Damac Properties,13.7,69.4
Al Hebiah First,Unit,2430000.0,7/3/2023,7409.67,3 B/R,1,TERRACE APARTMENT 4,Motor City,Dubai Internet City,11.5,58.8
Al Thanyah Fifth,Unit,605000.0,25-02-2021,7720.78,1 B/R,1,ARMADA  3,Jumeirah Lakes Towers,Marina Mall Metro Station,12.0,60.3
Marsa Dubai,Unit,3995000.0,12/12/2022,20496.64,3 B/R,1,Paloma x3,Dubai Marina,Jumeirah Beach Residency,5.8,31.1
Al Thanyah Fifth,Unit,1395000.0,8/12/2021,7863.14,3 B/R,1,Al Waleed Paradise,Jumeirah Lakes Towers,Damac Properties,9.8,49.7
Al Thanyah Fifth,Unit,540000.0,25-08-2021,5180.35,Office,1,HDS Tower,Jumeirah Lakes Towers,Marina Mall Metro Station,14.8,74.3
Al Thanyah Fifth,Unit,810000.0,5/9/2022,7908.61,1 B/R,1,Al Waleed Paradise,Jumeirah Lakes Towers,Damac Properties,10.1,50.9
Al Thanyah Fifth,Unit,620000.0,28-11-2021,8233.73,1 B/R,1,V3 TOWER,Jumeirah Lakes Towers,Damac Properties,11.4,57.3
Me'Aisem First,Unit,230000.0,24-01-2022,4991.32,Studio,1,THE CRESCENT A,International Media Production Zone,Damac Properties,6.9,34.6
Al Thanyah Third,Unit,2200000.0,26-10-2022,18357.81,2 B/R,1,The Fairways West Tower,The Greens,Nakheel Metro Station,10.7,54.7
Al Thanyah Third,Unit,1385000.0,2/8/2021,10134.64,2 B/R,1,The Fairways East Tower,The Greens,Nakheel Metro Station,12.7,64.2
Palm Jumeirah,Unit,2500000.0,12/5/2022,15510.61,2 B/R,1,Marina Apartments 1,Palm Jumeirah,Palm Jumeirah,10.1,51.8
Marsa Dubai,Unit,1351500.0,3/11/2022,9408.94,2 B/R,1,OPAL TOWER,Dubai Marina,Jumeirah Beach Residency,9.7,49.2
Al Thanyah Fifth,Unit,1152321.0,29-04-2021,7134.23,Office,1,REEF TOWER,Jumeirah Lakes Towers,Marina Mall Metro Station,12.2,61.6
Palm Jumeirah,Unit,6000000.0,7/3/2022,9468.95,4 B/R,1,Marina Apartments 6,Palm Jumeirah,Palm Jumeirah,7.6,41.2
Palm Jumeirah,Unit,3150000.0,12/12/2021,14175.14,3 B/R,1,EMERALD,Palm Jumeirah,Knowledge Village,10.8,55.7
Al Thanyah Fifth,Unit,880000.0,9/1/2023,7586.86,1 B/R,1,CONCORDE TOWER 1,Jumeirah Lakes Towers,Jumeirah Lakes Towers,9.1,46.0
Al Thanyah Fifth,Unit,850000.0,20-04-2021,7935.03,2 B/R,1,  PALLADIUM,Jumeirah Lakes Towers,Jumeirah Lakes Towers,10.3,51.9
Al Thanyah Third,Unit,710000.0,20-09-2021,13313.33,2 B/R,1,TNARO,The Greens,Nakheel Metro Station,8.3,41.9
Marsa Dubai,Unit,825000.0,6/12/2020,9467.52,1 B/R,1,PARK ISLAND SANIBEL,Dubai Marina,Jumeirah Beach Resdency,9.5,47.9
Marsa Dubai,Unit,1000000.0,20-04-2022,15181.42,1 B/R,1,PARK ISLAND SANIBEL,Dubai Marina,Jumeirah Beach Resdency,7.7,39.0
Business Bay,Unit,1731722.0,20-11-2011,13505.86,,1,BAYSWATER BAY BY OMNIYAT,Business Bay,Business Bay Metro Station,7.3,37.4
Al Thanyah Fifth,Unit,1386558.0,15-11-2021,12647.61,Office,1,Silver Tower,Jumeirah Lakes Towers,Jumeirah Lakes Towers,6.3,32.2
Al Thanyah Fifth,Unit,4711250.0,7/9/2022,13454.95,Office,1,Gold Tower,Jumeirah Lakes Towers,Jumeirah Lakes Towers,5.6,30.5
Me'Aisem First,Unit,550000.0,18-05-2022,4255.98,2 B/R,1,LAGO VISTA-C,International Media Production Zone,Damac Properties,5.3,26.8
Wadi Al Safa 7,Unit,816000.0,27-09-2021,4815.3,2 B/R,0,C67,Al Waha Villas,,13.4,67.4
Wadi Al Safa 5,Unit,226000.0,6/9/2022,5202.58,Studio,1,Skycourts Tower D,Residential Complex,,12.5,62.6
Wadi Al Safa 5,Unit,670519.0,11/6/2020,5812.91,2 B/R,1,Skycourts Tower E,Residential Complex,,5.8,29.4
Business Bay,Unit,800000.0,19-04-2021,10675.21,1 B/R,1,MAYFAIR TOWER,Business Bay,Business Bay Metro Station,7.6,38.4
Al Thanyah Fifth,Unit,1575000.0,6/12/2022,11819.0,Office,1,Swiss Tower,Jumeirah Lakes Towers,Damac Properties,9.4,47.8
Al Thanyah Fifth,Unit,1100000.0,17-01-2023,10580.99,Office,1,Jumeirah Business Center 5,Jumeirah Lakes Towers,Damac Properties,14.0,70.6
Al Hebiah Fourth,Unit,260000.0,28-06-2021,6329.11,Studio,1,Elite Residence 1,Dubai Sports City,Nakheel Metro Station,9.9,49.6
Business Bay,Unit,351779.0,11/8/2021,8038.83,Office,1,Clover Bay,Business Bay,Business Bay Metro Station,13.3,66.7
Business Bay,Unit,354161.0,12/8/2020,7732.78,Office,1,Clover Bay,Business Bay,Business Bay Metro Station,5.7,28.7
Al Thanyah Fifth,Unit,485000.0,2/8/2022,13968.89,Studio,1,GoldCrest Executive,Jumeirah Lakes Towers,Jumeirah Lakes Towers,10.0,50.3
Al Hebiah Fifth,Unit,1055000.0,28-03-2022,5147.09,3 B/R,1,AL THAMAM 1,Remraam,,6.3,32.1
Al Thanyah Fifth,Unit,1288000.0,21-04-2021,17763.07,Office,1,ALMAS TOWER,Jumeirah Lakes Towers,Jumeirah Lakes Towers,5.2,26.7
Al Thanyah Fifth,Unit,126354.0,27-06-2021,5044.05,Office,1,MAZAYA BUSINESS AVENUE AA1,Jumeirah Lakes Towers,Jumeirah Lakes Towers,12.3,61.6
Al Thanyah Fifth,Unit,715000.0,11/7/2021,4378.18,Office,1,MAZAYA BUSINESS AVENUE AA1,Jumeirah Lakes Towers,Jumeirah Lakes Towers,7.2,36.4
Al Thanyah Fifth,Unit,1193266.0,22-09-2022,6154.66,Office,1,MAZAYA BUSINESS AVENUE BB2,Jumeirah Lakes Towers,Jumeirah Lakes Towers,11.9,60.1
Al Hebiah Fifth,Unit,810000.0,18-11-2022,5819.38,2 B/R,1,AL THAMAM 10,Remraam,,11.5,57.9
Marsa Dubai,Unit,1150000.0,16-03-2022,17200.12,1 B/R,1,BOTANICA TOWER-1,Dubai Marina,Dubai Marina,6.8,34.6
Al Warsan First,Unit,320000.0,30-01-2023,4967.4,1 B/R,0,IC1-EMR-08,International City Phase 1,Rashidiya Metro Station,14.1,70.7
Al Thanyah Fifth,Unit,1675000.0,26-02-2020,7610.52,3 B/R,1,JHCED,Jumeirah Heights,Jumeirah Lakes Towers,12.5,63.4
Marsa Dubai,Unit,960000.0,7/12/2021,14663.2,1 B/R,1,BAY CENTRAL 1,Dubai Marina,Jumeirah Beach Resdency,10.5,53.0
Marsa Dubai,Unit,1275000.0,27-01-2023,19810.44,1 B/R,1,BAY CENTRAL 2,Dubai Marina,Jumeirah Beach Resdency,7.2,36.7
Palm Jumeirah,Unit,4200000.0,15-01-2020,8694.21,3 B/R,1,THE RESIDENCES SOUTH,Palm Jumeirah,Palm Jumeirah,13.4,69.2
Palm Jumeirah,Unit,2800000.0,30-06-2022,17487.98,2 B/R,1,THE RESIDENCES SOUTH,Palm Jumeirah,Palm Jumeirah,6.2,32.5
Al Hebiah First,Unit,450000.0,21-01-2020,4357.09,Office,1,DETROIT HOUSE,Motor City,Dubai Internet City,7.2,36.2
Al Hebiah Fourth,Unit,228000.0,28-11-2021,6163.83,Studio,1,The Spirit,Dubai Sports City,Nakheel Metro Station,13.2,66.1
Al Hebiah Fourth,Unit,400000.0,6/9/2021,10799.14,Studio,1,The Spirit,Dubai Sports City,Nakheel Metro Station,10.5,52.7
Al Thanyah Fifth,Unit,358256.0,5/10/2021,4685.53,Office,1,The Dome,Jumeirah Lakes Towers,Jumeirah Lakes Towers,13.9,69.7
Al Hebiah Fourth,Unit,983620.0,28-11-2022,10706.65,1 B/R,1,OLYMPIC PARK 3,Dubai Sports City,Nakheel Metro Station,11.5,58.0
Palm Jumeirah,Unit,2100000.0,10/10/2022,24743.73,2 B/R,1,ROYAL AMWAJ RESIDENCES NORTH,Palm Jumeirah,Al Sufouh,8.8,45.1
Burj Khalifa,Unit,600000.0,1/11/2020,7784.12,1 B/R,1,THE SIGNATURE,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,13.8,69.3
Burj Khalifa,Unit,1700000.0,17-06-2022,6016.85,3 B/R,1,THE SIGNATURE,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,7.3,37.4
Marsa Dubai,Unit,1165892.0,9/11/2022,17406.57,Studio,1,CAYAN TOWER,Dubai Marina,Marina Towers,10.7,54.1
Business Bay,Unit,350000.0,24-05-2021,6292.7,Office,1,EMPIRE HEIGHTS A,Business Bay,Buj Khalifa Dubai Mall Metro Station,13.1,65.7
Al Barsha First,Unit,168632.0,6/12/2022,2220.01,1 B/R,1,AL MURAD TOWERS,,Sharaf Dg Metro Station,5.4,27.1
Al Barsha South Fifth,Unit,655115.0,8/8/2022,6352.94,2 B/R,1,IMPERIAL RESIDENCE 1,Jumeirah Village Triangle,Nakheel Metro Station,10.7,53.8
Business Bay,Unit,465000.0,18-10-2020,9752.52,Studio,1,The Cosmopolitan,Business Bay,Business Bay Metro Station,10.5,52.7
Me'Aisem First,Unit,325000.0,25-10-2020,4904.92,1 B/R,1,CENTRIUM TOWER 1,International Media Production Zone,Damac Properties,5.6,28.2
Al Barshaa South Third,Unit,360000.0,15-12-2020,7074.08,Office,1,The Light 1,Arjan,Sharaf Dg Metro Station,10.0,50.2
Madinat Dubai Almelaheyah,Unit,1640650.0,29-09-2022,18662.84,1 B/R,1,THE ANWA BY OMNIYAT,Dubai Maritime City,Al Ghubaiba Metro Station,11.3,57.4
Business Bay,Unit,1350000.0,6/12/2022,10935.6,,1,THE BINARY BY OMNIYAT,Business Bay,Business Bay Metro Station,13.3,67.2
Al Hebiah Fourth,Unit,415000.0,31-08-2022,4719.66,1 B/R,1,ROYALE RESIDENCE 1,Dubai Sports City,Nakheel Metro Station,7.2,36.2
Business Bay,Unit,411218.0,30-03-2022,6775.71,Office,1,Park Lane,Business Bay,Business Bay Metro Station,10.7,53.7
Burj Khalifa,Unit,1895888.0,5/7/2021,21922.85,1 B/R,1,Blvd Heights T2,Burj Khalifa,Business Bay Metro Station,7.3,37.5
Burj Khalifa,Unit,1550000.0,6/3/2023,29670.75,Studio,1,The Address - The BLVD,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,9.7,49.3
Business Bay,Unit,870894.0,9/11/2022,18083.35,Studio,1,SOL BAY,Business Bay,Business Bay Metro Station,12.5,63.0
